decision logAST debtRatio debtRatio2 ProfibilityRatio VentureDummy underwriterRating logRevenue DebtPaymentDummy logMarket NASDAQ30dayReturn logNumIPOS
0 5.022906 0.3174538 0.04325923 0.07123383 0 7.75 4.354989 1 17.31202 -0.0448 3.178054
0 3.429345 0.1658310 0.05570965 0.08973853 0 8.88 3.630588 1 16.67771 -0.0075 3.044522
0 4.595675 0.5303417 0.0447832 0.0447832 0 8.63 2.601430 1 17.02231 0.1001 3.044522
0 5.905645 0.8200401 -0.03685877 -0.03685877 0 7.75 5.547495 1 16.21341 0.1001 3.044522
0 4.748812 0 0.0234913 0.06051262 0 8.88 4.802019 0 17.46617 0.0819 3.496508
0 3.721564 0.1384984 0.08069394 0.09121924 0 7 3.55669 0 17.03439 -0.0157 3.367296
0 4.29497 0.1891722 0.0947634 0.0976408 0 7.5 4.814693 1 17.19565 -0.0127 3.367296
0 4.524524 0.4763415 0.02218922 0.03702335 0 8.75 4.46689 1 17.04631 -0.011 3.367296
0 4.540226 0.1238902 0.07651101 0.1258750 0 8.83 5.038192 1 16.85046 -0.0213 3.688879
0 4.380463 0.1513239 0.04738654 0.07484194 0 8.88 4.693959 1 17.04235 0.017 4.248495
0 3.499231 0.09776428 0.04439408 0.06767274 0 8.88 3.508200 0 16.82859 0.017 4.248495
0 3.664356 0.384438 0.0286439 0.03115472 0 7.13 2.648937 0 16.81124 0.0139 4.248495
0 5.786989 0.0187038 0.03339877 0.05563598 0 8.5 5.613186 0 18.99547 0.0124 4.248495
0 5.787256 0.3004229 0.01263964 0.02059997 0 7.5 5.28436 1 18.12899 0.0209 4.248495
0 5.556287 0.2952368 -0.001278683 -0.000301321 0 8.75 6.492203 1 18.13832 0.0139 4.248495
0 3.154043 0.0720852 0.02383852 0.04472552 0 6.25 3.239073 1 16.34124 0.0043 3.737670
0 3.181225 0.1553328 0.04794149 0.04470731 0 0 2.616288 0 16.70588 -0.0055 3.737670
0 4.154122 0.4524146 0.0294681 0.0294681 0 8 4.354219 1 17.03439 -1e-04 3.737670
0 3.399058 0.4143847 0.02030185 0.03224705 0 6.25 3.360977 1 16.61887 0.0043 3.737670
0 4.007260 0.1322460 0.06516838 0.1120991 0 8.75 4.102362 0 17.29367 0.0269 3.737670
0 4.452513 0.5018616 0.02969753 0.02876022 0 7.38 4.732549 1 16.86003 -0.0299 3.332205
0 3.300530 0.4401519 0.00678291 0.006930365 0 3.33 3.63756 1 15.78262 -0.0316 3.332205
0 3.98209 0.1863730 0.02252513 0.02289806 0 8.88 2.777452 1 17.12970 -0.0381 3.332205
0 2.226817 0.1521867 -0.1992172 -0.1992172 0 5.17 -0.1867755 0 15.85673 -0.0289 3.332205
0 2.204524 0.3817862 0.007457366 0.007457366 0 3 1.446570 1 15.52026 -0.0102 3.332205
0 4.050428 0.2426422 0.04827418 0.07709589 0 8.83 4.024065 1 17.00186 -0.011 3.332205
0 3.664394 0.373612 0.03945717 0.06374464 0 7 3.248703 1 17.18694 -0.035 3.332205
0 5.954079 0.5668532 0.005135964 0.01081952 0 8.75 5.160371 1 18.47659 -0.0316 3.332205
0 3.909755 0.5388342 0.01672484 0.02787474 0 0 4.326115 1 16.52356 -5e-04 3.637586
0 5.320886 0.3495222 0.03607166 0.05726786 0 8.75 5.427506 1 17.37656 0.0602 3.637586
0 3.220715 0.3118658 0.02053911 0.03209284 0 8.75 2.706042 1 16.4456 0.0012 3.637586
0 3.434893 0.03027031 -0.07638517 -0.07638517 0 8.75 0.2231924 0 17.21671 0.0056 3.637586
0 4.348858 0.3963432 0.04182711 0.06964724 0 7.38 4.202765 1 17.0983 0.0107 3.637586
0 5.28806 0.5859446 -0.01469496 -0.01682672 0 7.88 4.896159 1 17.80911 0.0061 3.637586
0 5.103822 0.2291224 -0.01910112 -0.0262314 0 8.83 4.799338 1 18.133 0.0061 3.637586
0 4.67437 0.1715952 0.1819811 0.2811459 0 8.5 4.976078 1 17.95865 0.0107 3.637586
0 2.022739 0.09406006 -0.0645588 -0.0611192 0 0 -0.3495575 0 15.68731 -0.0063 2.484907
0 4.186863 0.1856691 0.02882278 0.04647806 0 7.38 3.876893 1 17.37086 -0.0063 2.484907
0 2.854650 0.2603010 0.01612289 0.01980862 0 0 3.088796 1 15.42495 -0.0086 2.484907
0 4.558693 0.1721477 0.03203728 0.05240213 0 9 4.617305 1 17.7355 -0.001 3.091042
0 1.262168 0 -0.0849609 -0.0849609 0 2 -6.834505 0 14.84513 -0.0042 3.091042
0 3.951833 0.009936454 0.06700576 0.1080585 0 7.88 4.088666 0 17.47907 0.0037 3.091042
0 4.126610 0.2794208 0.03584674 0.03747219 0 9 3.878596 1 17.21671 -0.0104 3.091042
0 3.61048 1.083499 -0.1401013 -0.1401013 0 0 2.508343 1 16.75467 9e-04 2.833213
